UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
ApplicationContext,ApplicationContext,"Application Context is the representative of the application. It holds method to retrieve all the object like protection groups, protection elements, roles etc that belong to that application.",Application_Context,Application Context,ObjectClass,C41086,A designation or description of the application environment or discipline in which a name is applied or from which it originates. (caBIO),NCICB,,1
ApplicationContext,applicationId,It is the unique id for the application in the database.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
ApplicationContext,applicationId,It is the unique id for the application in the database.,Computer_Application,Computer Application,PropertyQualifier1,C42608,A program that gives a computer instructions that provide the user with tools to accomplish a task.,NCI,,1
ApplicationContext,applicationName,The name of the application. The same name is used for applicationContextName.,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
ApplicationContext,applicationName,The name of the application. The same name is used for applicationContextName.,Computer_Application,Computer Application,PropertyQualifier1,C42608,A program that gives a computer instructions that provide the user with tools to accomplish a task.,NCI,,1
ApplicationContext,activeFlag,This attributes indicates if the application is active or not.,Active_Flag,Active Flag,Property,C42612,An indication of whether the item in question is an active item.,NCI,,1
ApplicationContext,dataSourceName,This is the name of the data source for authorization data. This is the JNDI name for the data source for this application.,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
ApplicationContext,dataSourceName,This is the name of the data source for authorization data. This is the JNDI name for the data source for this application.,Data_Sources,Data Source,PropertyQualifier1,C16493,The person or authoritative body who provided the information.,NCI,,1
ApplicationContext,authenticationPolicyConfigName,This name represent the  name that should be used to get all the configuration for authentication for this application.,Authentication_Policy_Configuration_Name,Authentication Policy Configuration Name,Property,C42617,This name represents the name that should be used to get all the configuration for authentication for this application.,NCICB,,1
ApplicationContext,declarativeFlag,Indicate whether the application uses declarative security or not,Declarative_Flag,Declarative Flag,Property,C42649,An indication of whether an application uses declarative security.,NCI,,1
User,User,The user class is a representation of an application user. ,User,User,ObjectClass,C42745,"An individual who uses a computer, program, network, or related service for work or entertainment. (from http://www.computeruser.com/resources/dictionary/index.html)",NCI,,1
User,userId,This a unique id to identify a user within an application.,User,User,Property,C42745,"An individual who uses a computer, program, network, or related service for work or entertainment. (from http://www.computeruser.com/resources/dictionary/index.html)",NCI,,1
User,loginName,This string is used for login into the application.,Login_Name,Login Name,Property,C42694,"A login name is the account name used to access a computer system. Also called user ID or user name, it is a way people identify themselves to their online service or Internet access provider. (learntheweb.com)",NCI,,1
User,firstName,The first name of the user,First_Name,First Name,Property,C40974,A word or group of words indicating a person's first (personal) name. (NCI),NCI,,1
User,lastName,The last name of the user,Last_Name,Last Name,Property,C40975,A word or group of words indicating a person's last (family) name. (NCI),NCI,,1
User,organization,The name of the organization that this user belongs to.,Organizational_Unit,Organizational Unit,Property,C41167,"Organizational unit like a laboratory, institute or consortium. (caBIO)",NCICB,,1
User,department,The name of the department that this user belongs to.,Department_Name,Department Name,Property,C42671,The name of the department that this user belongs to.,NCICB,,1
User,title,The name of the title for this user.,Title,Title,Property,C19067,An identifying appellation signifying status or function.,NCI,,1
User,phoneNumber,This is the work phone of the user.,Telephone_Number,Telephone Number,Property,C40978,"A telephone number is a sequence of decimal digits (0-9) that is used for identifying a destination telephone line or other device in a telephone network.  In the US this is a ten digit number resembling ""123-456-7890"".",NCI,,1
User,password,The password used to login into the application,Password,Password,Property,C42710,"A secret set of characters, numbers, or symbols used as a form of authentication.",NCI,,1
User,emailId,Email id for this user.,Email_Address,Email Address,Property,C42775,An e-mail address identifies a location to which e-mail can be delivered. A modern Internet e-mail address (using SMTP) is a string of the form jsmith@domain.example. (from Wikipedia),NCI,,1
User,startDate,It is the start date for this user.,Begin_Date,Begin Date,Property,C25383,The calendar date on which something is to start or did start.,NCI,,1
User,endDate,It is the end date for this user.,End_Date,End Date,Property,C25380,The calendar date on which an activity is terminated or completed. (NCI),NCI,,1
User,updateDate,It is the date when the user information was last updated,Date,Date,Property,C25164,"The particular day, month and year an event will happen or has happened.",NCI,,1
User,updateDate,It is the date when the user information was last updated,Update,Update,PropertyQualifier1,C25710,Bring up to date; supply with recent information or technology.,NCI,,1
Group,Group,A Group is a logical collection of users. A group belongs to an application.,User_Group,User Group,ObjectClass,C42684,"A user group is a set of people who have similar interests, goals, or concerns.",NCI,,1
Group,groupId,It is the unique id by which it is identified within an application.,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Group,groupName,It is the logical name for the group.,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
